"weight";"label";"tagType";"tagDisplay";"country";"language"
"320";"politique économique";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"330";"fiscalité & cotisations";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"340";"budget";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"350";"régulation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"360";"aides & subventions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"370";"transformation de l'administration";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"380";"participation citoyenne";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"390";"effort individuel";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"400";"RSE & politique d'entreprise";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"410";"engagement associatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"420";"numérique";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"430";"sanctions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"440";"individus";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"450";"seniors";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"460";"jeunes";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"470";"urbains";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"480";"ruraux";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"490";"médias";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"500";"élus";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"510";"États & organismes sociaux";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"520";"collectivités territoriales";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"530";"entreprises";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"540";"associations";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"550";"action publique";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"560";"région Hauts-de-France";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"570";"collectivités publiques";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"580";"etat";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"590";"entreprises";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"600";"individus";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"610";"seniors";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"620";"jeunes";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"630";"médias";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"640";"associations";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"650";"UE";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"660";"mieux former";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"670";"mieux inclure";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"680";"mieux vivre";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"690";"mieux se déplacer";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
